x,det_symbolic,det_numeric,abs_error
-0.9,4.0861,4.0861,0.0
-0.8818181818181818,3.937476818523325,3.937476818523325,0.0
-0.8636363636363636,3.79392203401407,3.79392203401407,0.0
-0.8454545454545455,3.655309753432143,3.655309753432143,0.0
-0.8272727272727273,3.5215167065091184,3.5215167065091175,8.881784197001252e-16
-0.8090909090909091,3.392422245748241,3.3924222457482407,4.440892098500626e-16
-0.7909090909090909,3.2679083464244245,3.2679083464244245,0.0
-0.7727272727272727,3.1478596065842495,3.1478596065842495,0.0
-0.7545454545454546,3.0321632470459674,3.032163247045967,4.440892098500626e-16
-0.7363636363636363,2.9207091113994945,2.920709111399494,4.440892098500626e-16
-0.7181818181818183,2.8133896660064206,2.8133896660064206,0.0
-0.7000000000000001,2.7101,2.7101,0.0
-0.6818181818181819,2.6107378252851583,2.6107378252851587,4.440892098500626e-16
-0.6636363636363637,2.5152034765384883,2.515203476538488,4.440892098500626e-16
-0.6454545454545455,2.423399911208251,2.4233999112082505,4.440892098500626e-16
-0.6272727272727273,2.3352327095143774,2.3352327095143774,0.0
-0.6090909090909091,2.250610074448467,2.250610074448467,0.0
-0.5909090909090909,2.169442831773786,2.1694428317737864,4.440892098500626e-16
-0.5727272727272728,2.0916444300252715,2.091644430025272,4.440892098500626e-16
-0.5545454545454546,2.017130940509528,2.0171309405095283,4.440892098500626e-16
-0.5363636363636364,1.945821057304829,1.945821057304829,0.0
-0.5181818181818183,1.8776360972611166,1.8776360972611168,2.220446049250313e-16
-0.5,1.8125,1.8125,0.0
-0.48181818181818187,1.75033932791476,1.75033932791476,0.0
-0.4636363636363637,1.6910832661703437,1.6910832661703437,0.0
-0.4454545454545455,1.6346636227033673,1.6346636227033673,0.0
-0.4272727272727273,1.5810148282221161,1.581014828222116,2.220446049250313e-16
-0.4090909090909091,1.5300739362065434,1.5300739362065434,0.0
-0.390909090909091,1.4817806229082715,1.4817806229082715,0.0
-0.3727272727272728,1.4360771873505909,1.4360771873505913,4.440892098500626e-16
-0.3545454545454546,1.3929085513284614,1.3929085513284614,0.0
-0.3363636363636364,1.3522222594085105,1.3522222594085105,0.0
-0.31818181818181823,1.313968478929035,1.3139684789290351,2.220446049250313e-16
-0.30000000000000004,1.2781,1.2781000000000002,2.220446049250313e-16
-0.28181818181818186,1.2445722355030395,1.244572235503039,4.440892098500626e-16
-0.26363636363636367,1.2133432210914556,1.2133432210914554,2.220446049250313e-16
-0.24545454545454548,1.1843736151902193,1.1843736151902193,0.0
-0.2272727272727273,1.1576266989959703,1.15762669899597,2.220446049250313e-16
-0.2090909090909091,1.1330683764770166,1.1330683764770166,0.0
-0.19090909090909092,1.1106671743733352,1.1106671743733354,2.220446049250313e-16
-0.17272727272727273,1.0903942421965713,1.0903942421965716,2.220446049250313e-16
-0.15454545454545465,1.072223352230039,1.072223352230039,0.0
-0.13636363636363646,1.0561308995287209,1.056130899528721,2.220446049250313e-16
-0.11818181818181828,1.042095901919268,1.0420959019192677,2.220446049250313e-16
-0.10000000000000009,1.0301,1.0301,0.0
-0.0818181818181819,1.0201274571409058,1.0201274571409058,0.0
-0.06363636363636371,1.0121651594836418,1.0121651594836418,0.0
-0.045454545454545525,1.006202615941534,1.0062026159415338,2.220446049250313e-16
-0.027272727272727337,1.0022319581995764,1.0022319581995767,2.220446049250313e-16
-0.00909090909090915,1.000247940714432,1.0002479407144325,4.440892098500626e-16
0.009090909090909038,1.000247940714432,1.0002479407144325,4.440892098500626e-16
0.027272727272727226,1.0022319581995764,1.0022319581995762,2.220446049250313e-16
0.045454545454545414,1.006202615941534,1.0062026159415338,2.220446049250313e-16
0.0636363636363636,1.0121651594836418,1.0121651594836418,0.0
0.08181818181818179,1.0201274571409056,1.0201274571409054,2.220446049250313e-16
0.09999999999999998,1.0301,1.0300999999999998,2.220446049250313e-16
0.11818181818181805,1.0420959019192677,1.0420959019192677,0.0
0.13636363636363635,1.0561308995287206,1.056130899528721,4.440892098500626e-16
0.15454545454545443,1.0722233522300388,1.0722233522300386,2.220446049250313e-16
0.17272727272727273,1.0903942421965713,1.0903942421965716,2.220446049250313e-16
0.1909090909090908,1.110667174373335,1.1106671743733347,2.220446049250313e-16
0.2090909090909091,1.1330683764770166,1.1330683764770166,0.0
0.22727272727272718,1.15762669899597,1.15762669899597,0.0
0.24545454545454548,1.1843736151902193,1.1843736151902193,0.0
0.26363636363636356,1.2133432210914554,1.2133432210914552,2.220446049250313e-16
0.28181818181818163,1.244572235503039,1.2445722355030389,2.220446049250313e-16
0.29999999999999993,1.2780999999999998,1.2780999999999998,0.0
0.318181818181818,1.3139684789290345,1.3139684789290345,0.0
0.3363636363636363,1.3522222594085103,1.3522222594085105,2.220446049250313e-16
0.3545454545454544,1.3929085513284607,1.392908551328461,2.220446049250313e-16
0.3727272727272727,1.4360771873505906,1.4360771873505904,2.220446049250313e-16
0.39090909090909076,1.4817806229082708,1.481780622908271,2.220446049250313e-16
0.40909090909090906,1.5300739362065432,1.5300739362065434,2.220446049250313e-16
0.42727272727272714,1.5810148282221155,1.581014828222116,4.440892098500626e-16
0.44545454545454544,1.6346636227033673,1.634663622703367,2.220446049250313e-16
0.4636363636363635,1.6910832661703432,1.6910832661703428,4.440892098500626e-16
0.4818181818181818,1.7503393279147599,1.75033932791476,2.220446049250313e-16
0.4999999999999999,1.8124999999999996,1.8125,4.440892098500626e-16
0.5181818181818182,1.8776360972611161,1.8776360972611161,0.0
0.5363636363636363,1.9458210573048285,1.9458210573048282,2.220446049250313e-16
